keyword,topic
VIOLENT CLASH,Violent Civil Unrest
RIOT POLICE,Violent Civil Unrest
TEAR GAS,Violent Civil Unrest
ARREST MILITANT,Violent Civil Unrest
VIOLENTLY SUPPRESSING,Violent Civil Unrest
EVACUATED RESIDENTS,Shelter
COMMUNAL SHELTERS,Shelter
TEMPORARILY RESETTLED,Shelter
TEMPORARY SHELTER,Shelter
REFUGEE SHELTERS,Shelter
STRATEGIC GRAIN RESERVES,Food
CEREAL SHORTAGES,Food
TACKLE MALNUTRITION,Food
WIDESPREAD CROP FAILURES,Food
FOOD AID STORAGE,Food
MURDEROUS ATTACKS,"Extreme Violence, Terrorism"
KILLING INNOCENT CIVILIANS,"Extreme Violence, Terrorism"
TERRRORISM,"Extreme Violence, Terrorism"
SUICIDE BOMBER,"Extreme Violence, Terrorism"
EXTREME VIOLENCE,"Extreme Violence, Terrorism"
DRINKING UNCLEAN WATER,Sanitation
BACTERIAL CONTAMINATION,Sanitation
PROPER WASTE MANAGEMENT,Sanitation
MICROBIOLOGICAL CONTAMINANTS,Sanitation
BIOHAZARDOUS MATERIALS,Sanitation
ELECTRIC POWER GENERATORS,Energy
ELECTRICITY CRISIS,Energy
ELECTRICITY OUTAGE,Energy
EMERGENCY GENERATORS,Energy
ELECTRICITY RESTORED,Energy
SEARCH OPERATION,Search and Rescue
FIREMEN RESCUE,Search and Rescue
COASTGUARD RESCUE TEAM,Search and Rescue
POLICE OFFICER RESCUES,Search and Rescue
RESCUE OPERATION UNDERWAY,Search and Rescue
EVACUATION ZONES,Evacuation
VOLUNTARY EVACUATIONS,Evacuation
EVACUATION TEAM,Evacuation
EMERGENCY EVACUATION,Evacuation
MANDATORY EVACUATIONS,Evacuation
LETHAL DISEASE,Medical
VIRUS INFECTIONS,Medical
NURSE INFECTED,Medical
BLOODSTREAM INFECTIONS,Medical
EMERGENCY MEDICAL CENTER,Medical
DAMS BURST,Water
WATER PURIFICATIONS,Water
DRAINS OVERFLOWED,Water
CONTAMINATE GROUNDWATER,Water
WATER TREATMENT,Water
POLL RIGGING,Elections and Politics
DELAYING ELECTIONS,Elections and Politics
ILLEGITIMATE GOVERNMENT,Elections and Politics
ELECTORAL TRANSPARENCY,Elections and Politics
VOTING FRAUD,Elections and Politics
HUMAN RIGHTS OBLIGATIONS,Intervention
HUMANITARIAN AID,Intervention
UN PEACEKEEPING,Intervention
MISSIONARY AID,Intervention
RELIEF MISSION,Intervention
STRUCTURAL REPAIRS,Infrastructure and Utilities
ELECTRICAL INFRASTRUCTURE,Infrastructure and Utilities
BROKEN SEWAGE,Infrastructure and Utilities
FALLEN POWER LINES,Infrastructure and Utilities
CRITICAL INFRASTRUCTURE,Infrastructure and Utilities